"Agency","Date","Agenda Section","Item Heading","Item Content","Relevance Score"
"City of San Jose","FEBRUARY 3, 2015 ","2. CONSENT CALENDAR ","2.9 Contract Approval for Public Opinion Survey Consultant Services. - DEFERRED","Recommendation: Approve contract with Fairbank, Maslin, Maullin, Metz & Associates, Inc. (FM3) for consultant survey services for a four-year term from time of execution, with option for renewal, in an amount not to exceed $610,500. CEQA: Not a Project, File No. PP10-066(e), Services that involve no physical changes to the environment. (City Manager) DEFERRED TO 2/10/15 PER ADMINISTRATION",""
"City of San Jose","FEBRUARY 3, 2015 ","2. CONSENT CALENDAR ","2.10 Actions Related to a Settlement for the San Jose Environmental Innovation Center","Recommendation: (a) Adopt a resolution authorizing the City Attorney to negotiate and execute a final settlement agreement in an amount not to exceed $200,000 with Liberty Mutual Insurance Company, the surety that completed construction of the San Josee Environmental Innovation Center. (b) Adopt the following 2014-2015 Appropriation Ordinance Amendments in the Integrated Waste Management Fund: (1) Decrease the Unrestricted Ending Fund Balance in the amount of $200,000; (2) Increase the EIC (Miscellaneous Funding Sources) appropriation to the Environmental Services Department in the amount of $200,000. CEQA: Negative Declaration for the renovation of the SJEIC, adopted December 1, 2009, File No. PP09-138. (City Attorney/Public Works/City Manager)",""
"City of San Jose","FEBRUARY 3, 2015 ","2. CONSENT CALENDAR ","2.11 District 10s July 4th Fun Festival","Recommendation: As recommended by the Rules and Open Government Committee on January 28, 2015: (a) Approve the July 4th Fun Festival as a City Council sponsored Special Event and approving the expenditure of finds; and (b) Approve and accept donations from various individuals, businesses, or community groups to support the event. CEQA: Not a Project. (Khamis) [Rules and Open Government Committee referral 1/28/15 Item G(1)(a)(1)]",""
"City of San Jose","FEBRUARY 3, 2015 ","2. CONSENT CALENDAR ","2.12 2015 State of the City","Recommendation: As recommended by the Rules and Open Government Committee on January 28, 2015: (a) Approve the 2015 State of the City event as a City Council sponsored Special Event; and (b) Approve expending funds and accepting donations from various individuals, businesses, or community groups to support the event. CEQA: Not a Project. (Mayor) [Rules and Open Government Committee referral 1/28/15 Item G(1)(a)(2)]",""
"City of San Jose","FEBRUARY 3, 2015 ","2. CONSENT CALENDAR ","2.13 District 10 SAP Grant to Kiwanis Club of Almaden","Recommendation: As recommended by the Rules and Open Government Committee on January 28, 2015, approve a grant of $1000 to the Almaden Kiwanis TAS Scholarship Fund to be paid from the budgeted District 10 SAP Center at San Jose allocation, which is funded by the Arena Community Fund City-Wide appropriation. CEQA: Not a Project. (Khamis) [Rules and Open Government Committee 1/28/15 Item G(3)]",""
"City of San Jose","FEBRUARY 3, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.1 Report of Interim City Manager, Norberto Dueas (Verbal Report).","",""
"City of San Jose","FEBRUARY 3, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.2 Labor Negotiations Update.","Recommendation: Accept Labor Negotiations Update. TO BE HEARD AT 9:30 A.M.",""
"City of San Jose","FEBRUARY 3, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.3 2014 Service Efforts and Accomplishments Report","Recommendation: Discuss the 2014 Service Efforts and Accomplishments Report. (City Auditor)",""
"City of San Jose","FEBRUARY 3, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.4 Amendment to the Agreement with Graffiti Protective Coatings, Inc. for Graffiti Abatement Services","Memo from Councilmember Rocha Recommendation: Adopt a resolution authorizing the City Manager to: (a) Execute the First Amendment to the Graffiti Abatement Services Agreement with Graffiti Protective Coatings, Inc. (Los Angeles, CA) to increase the maximum compensation by $999,797 for the initial five-year term from June 27, 2011, to June 26, 2016, for a revised maximum compensation of $4,166,300. (b) Negotiate and execute subsequent amendments to the Agreement to increase the maximum compensation as required to meet the demand for graffiti abatement services for the remaining term of the Agreement including option terms through June 26, 2020, subject to the appropriation of funds. CEQA: Exempt, File No. PP11-046. (Finance)",""
"City of San Jose","FEBRUARY 3, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.5 General Fund Structural Budget Deficit History and Service Restoration Priorities and Strategies.","Supplemental dated January 23, 2015 Presentation Supplemental dated January 15, 2015 Presentation from January 20, 2015 Memo from Councilmember Rocha Supplemental from the Director of Finance Recommendation: Discussion continued from the General Fund Structural Budget Deficit History and Service Restoration Priorities and Strategies City Council Study Session on January 20, 2015. (City Manager) (Continued from 1/27/15 Item 3.5) TO BE HEARD IMMEDIATELY FOLLOWING CONSENT CALENDAR",""
"City of San Jose","FEBRUARY 3, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.6 Interim City Manager Compensation","Recommendation: As recommended by the Rules and Open Government Committee on January 28, 2015: (a) Adopt a resolution approving compensation and benefits for Interim City Manager Norberto Dueas, effective January 1, 2015, as outlined in the letter from Mayor Liccardo; and (b) Authorize the City Clerk to execute an agreement between the City of San Jose and Mr. Dueas for services as Interim City Manager. (Mayor) [Rules Committee referral 1/28/15 Item G(4)]",""
"City of San Jose","FEBRUARY 3, 2015 ","4. COMMUNITY & ECONOMIC DEVELOPMENT ","4.1 Rezoning of the Real Property Located on the North Side of Thornwood Drive, East of Winfield Boulevard","Recommendation: Consideration of an ordinance rezoning the real property located on the north side of Thornwood Drive, east of Winfield Boulevard (5340 and 5406 Thornwood Drive) from A(PD) Zoning District to the Combined Industrial/Commercial Zoning District on two adjacent properties totaling approximately 2.37 gross acres (Rena Solomon Family Trust and California State Auto Association, Owners). CEQA: Exempt. (Planning, Building and Code Enforcement) C14-066 District 10",""
"City of San Jose","FEBRUARY 3, 2015 ","5. NEIGHBORHOOD SERVICES ","5.1 Actions Related to the Boys and Girls Club of Silicon Valleys Clubhouse Property","Recommendation: Adopt a resolution authorizing the Director of Housing to: (a) Negotiate and execute a partial reconveyance of the Citys deed of trust on the Boys and Girls Club (BGC) of Silicon Valleys clubhouse property located at 2293 Cunningham Avenue, reducing the amount of debt secured from $875,000 to $80,380. (b) Negotiate and execute a public use easement for the BGC clubhouse property to allow public access to outdoor spaces after hours and on weekends. (c) Subordinate the Citys deed of trust to commercial lenders from whom BGC may borrow funds in the future. (d) Remove the Citys deed of trust and public use easement from the City-owned soccer field parcel located behind 2293 Cunningham Avenue. (e) Record a covenant on the title to the Citys soccer field located behind the clubhouse property to document the Community Development Block Grant (CDBG) requirement that a CDBG-eligible use of the site be maintained until 2021. CEQA: Exempt, File No. PP14-089. Council District 8. (Economic Development/Housing/Parks, Recreation and Neighborhood Services)",""
"City of San Jose","FEBRUARY 3, 2015 ","5. NEIGHBORHOOD SERVICES ","5.2 Actions Related to the 2014 State of California for Grant Funding for the Housing-Related Parks Program","Recommendation: Adopt a resolution: (a) Authorizing the Director of Housing, or designee, to submit grant applications in an aggregate amount up to $2,600,000 to the California Department of Housing and Community Development under the Housing-Related Parks Program (HRPP) for the development of parkland in the Tamien area and on the Alum Rock & 31st Street property. (b) Authorizing the Director of Housing, or designee, to accept HRPP grant awards and conduct all negotiations, execute and submit all documents, including, but not limited to, applications, agreements, amendments, and payment requests, which may be necessary in connection with these grants, provided that the Director is not authorized to expend funds on these projects prior to receiving specific California Environmental Quality Act approval for each project. CEQA: Not a Project, File No. PP10-068(a), Grant Application. Council Districts 2 and 5. (Housing/Parks, Recreation and Neighborhood Services)",""
"City of San Jose","FEBRUARY 3, 2015 ","5. NEIGHBORHOOD SERVICES ","5.3 Destination: Home Community Plan to End Homelessness 2015-2020","Recommendation: Adopt a resolution to endorse and support the Destination: Home Community Plan to End Homelessness 2015-2020. CEQA: Not a Project, File No. PP10-068, policy making. (Housing)",""
"City of San Jose","FEBRUARY 3, 2015 ","6. TRANSPORTATION & AVIATION SERVICES ","6.1 Actions Related to the Airport Disadvantage Business Enterprise Program. -DEFERRED","Recommendation: Adopt a resolution: (a) Approving a proposed overall Disadvantaged Business Enterprise (DBE) participation race-neutral goal of 7.25% for the Norman Y. Mineta San Jose International Airport for Federal Fiscal Years 2014-2016; (b) Authorizing the City Manager to submit the three-year DBE participation plan to the Federal Aviation Administration (FAA); and (c) Authorizing the City Manager to make revisions as requested by the FAA. CEQA: Not a Project, File No. PP10-066(e), Services involving no physical change to the environment. (Public Works/Airport) DEFERRED TO 3/3/15 PER ADMINISTRATION",""
"City of San Jose","FEBRUARY 10, 2015 ","2. CONSENT CALENDAR ","2.1 Approval of Minutes.","",""
"City of San Jose","FEBRUARY 10, 2015 ","2. CONSENT CALENDAR ","2.2 Final Adoption of Ordinances.","",""
"City of San Jose","FEBRUARY 10, 2015 ","2. CONSENT CALENDAR ","2.3 Approval of Council Committee Reports.","Recommendation: Approval of Council Committee Reports. (a) Rules and Open Government Committee Report of January 21, 2015. (Mayor) (b) Community and Economic Development Committee Report of January 26, 2015. (Khamis) DEFERRED TO 2/24/15 PER CITY CLERK",""
"City of San Jose","FEBRUARY 10, 2015 ","2. CONSENT CALENDAR ","2.4 Mayor and Council Excused Absence Requests.","",""
"City of San Jose","FEBRUARY 10, 2015 ","2. CONSENT CALENDAR ","2.5 City Council Travel Reports.","",""
"City of San Jose","FEBRUARY 10, 2015 ","2. CONSENT CALENDAR ","2.6 Report from the Council Liaison to the Retirement Boards.","",""
"City of San Jose","FEBRUARY 10, 2015 ","2. CONSENT CALENDAR ","2.7 Contract Approval for Public Opinion Survey Consultant Services","Recommendation: Adopt a resolution authorizing the City Manager to: (a) Negotiate and execute an Agreement with Fairbank, Maslin, Maullin, Metz & Associates, Inc. (FM3 Research) for public opinion survey consultant services on behalf of the City of San Jose for the period from the date of execution through December 31, 2016, with options to extend the agreement for two one-year terms, for an amount not to exceed $116,250 for each option period, for a total compensation not to exceed $610,500; and (b) Exercise the options to extend the Agreement for two one-year terms commencing January 1, 2017 through December 31, 2018, subject to the appropriation of funds. CEQA: Not a Project, File No. PP10-066(e), Services that involve no physical changes to the environment. (City Manager) (Deferred from 2/3/15 Item 2.9) RENUMBERED TO ITEM 3.6",""
